year,month,day,source_location,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,4,1,Aberdeen City,4,8,8,0,16,0.5
2019,4,2,Aberdeen City,4,8,8,0,16,0.5
2019,4,3,Aberdeen City,4,8,8,0,16,0.5
2019,4,4,Aberdeen City,6,8,8,0,16,0.5
2019,4,5,Aberdeen City,3,8,8,0,16,0.5
2019,4,6,Aberdeen City,5,8,8,0,16,0.5
2019,4,7,Aberdeen City,6,8,8,0,16,0.5
2019,4,8,Aberdeen City,3,8,8,0,16,0.5
2019,4,9,Aberdeen City,5,8,8,0,16,0.5
2019,4,10,Aberdeen City,5,8,8,0,16,0.5
2019,4,11,Aberdeen City,7,8,8,0,16,0.5
2019,4,12,Aberdeen City,6,8,8,0,16,0.5
2019,4,13,Aberdeen City,3,8,8,0,16,0.5
2019,4,14,Aberdeen City,4,8,8,0,16,0.5
2019,4,15,Aberdeen City,4,8,8,0,16,0.5
2019,4,16,Aberdeen City,7,8,8,0,16,0.5
2019,4,17,Aberdeen City,4,8,8,0,16,0.5
2019,4,18,Aberdeen City,5,8,8,0,16,0.5
2019,4,19,Aberdeen City,5,8,8,0,16,0.5
2019,4,20,Aberdeen City,4,8,8,0,16,0.5
2019,4,21,Aberdeen City,4,8,8,0,16,0.5
2019,4,22,Aberdeen City,5,8,8,0,16,0.5
2019,4,23,Aberdeen City,5,8,8,0,16,0.5
2019,4,24,Aberdeen City,3,8,8,0,16,0.5
2019,4,25,Aberdeen City,3,8,8,0,16,0.5
2019,4,26,Aberdeen City,5,8,8,0,16,0.5
2019,4,27,Aberdeen City,6,8,8,0,16,0.5
2019,4,28,Aberdeen City,4,8,8,0,16,0.5
2019,4,29,Aberdeen City,4,8,8,0,16,0.5
2019,4,30,Aberdeen City,5,8,8,0,16,0.5
2019,4,1,Aberdeenshire,3,0,0,1,1,0.0
2019,4,2,Aberdeenshire,2,0,0,1,1,0.0
2019,4,3,Aberdeenshire,1,0,0,1,1,0.0
2019,4,4,Aberdeenshire,3,0,0,1,1,0.0
2019,4,5,Aberdeenshire,2,0,0,1,1,0.0
2019,4,6,Aberdeenshire,1,0,0,1,1,0.0
2019,4,7,Aberdeenshire,4,0,0,1,1,0.0
2019,4,8,Aberdeenshire,3,0,0,1,1,0.0
2019,4,9,Aberdeenshire,3,0,0,1,1,0.0
2019,4,10,Aberdeenshire,2,0,0,1,1,0.0
2019,4,11,Aberdeenshire,2,0,0,1,1,0.0
2019,4,12,Aberdeenshire,1,0,0,1,1,0.0
2019,4,13,Aberdeenshire,3,0,0,1,1,0.0
2019,4,14,Aberdeenshire,2,0,0,1,1,0.0
2019,4,15,Aberdeenshire,4,0,0,1,1,0.0
2019,4,16,Aberdeenshire,4,0,0,1,1,0.0
2019,4,17,Aberdeenshire,1,0,0,1,1,0.0
2019,4,18,Aberdeenshire,2,0,0,1,1,0.0
2019,4,19,Aberdeenshire,3,0,0,1,1,0.0
2019,4,20,Aberdeenshire,2,0,0,1,1,0.0
2019,4,21,Aberdeenshire,2,0,0,1,1,0.0
2019,4,22,Aberdeenshire,1,0,0,1,1,0.0
