week_start,PSOS_MMW_Name,true,pred
2024-10-21,Lomond,0,0
2024-10-21,Aird and Loch Ness,0,0
2024-10-21,"Stepps, Chryston and Muirhead",0,0
2024-10-21,Wick and East Caithness,0,0
2024-10-21,Helensburgh and Lomond South,0,0
2024-10-21,Dunbar and East Linton,0,0
2024-10-21,Cardonald,0,0
2024-10-21,Blairgowrie and Glens,0,0
2024-10-21,Inverness West,0,0
2024-10-21,Elgin City South,0,0
2024-10-21,Clydesdale West,0,0
2024-10-21,"Leven, Kennoway and Largo",0,0
2024-10-21,Kelso and District,0,0
2024-10-21,Helensburgh and Lomond South,0,0
2024-10-21,Cupar,0,0
2024-10-21,Badenoch and Strathspey,0,0
2024-10-21,Thorniewood,0,0
2024-10-21,Clackmannanshire South,0,0
2024-10-21,Shettleston,0,0
2024-10-21,East Kilbride South,0,0
2024-10-21,Bo'ness and Blackness,0,0
2024-10-21,West Mainland,0,0
2024-10-21,Livingston South,0,0
2024-10-21,Leith Walk,0,0
2024-10-21,North Kincardine,0,0
2024-10-21,Anderston/City/Yorkhill,0,0
2024-10-21,Lomond North,0,0
2024-10-21,Strathtay,0,0
2024-10-21,North Berwick Coastal,0,0
2024-10-21,Dunblane and Bridge of Allan,0,0
2024-10-21,Girvan and South Carrick,0,0
2024-10-21,Murdostoun,0,0
2024-10-21,Rutherglen South,0,0
2024-10-21,Beinn na Foghla agus Uibhist a Tuath,0,0
2024-10-21,Clackmannanshire Central,0,0
2024-10-21,"Lochgelly, Cardenden and Benarty",0,0
2024-10-21,North Coast and Cumbraes,0,0
2024-10-21,Paisley North West,0,0
2024-10-21,Dumbarton,0,0
2024-10-21,Black Isle,0,0
2024-10-21,Airyhall/Broomhill/Garthdee,0,0
2024-10-21,Sgir' Uige agus Ceann a Tuath nan Loch,0,0
2024-10-21,Drumchapel/Anniesland,0,0
2024-10-21,Glenrothes Central and Thornton,0,0
2024-10-21,Keith and Cullen,0,0
2024-10-21,"Bishopton, Bridge of Weir & Langbank",0,0
2024-10-21,Jedburgh and District,0,0
2024-10-21,Leven,0,0
2024-10-21,Caol and Mallaig,0,0
2024-10-21,Ardrossan and Arran,0,0
2024-10-21,Sgire an Rubha,0,0
2024-10-21,North East - Glasgow,0,0
2024-10-21,Kilsyth,0,0
2024-10-21,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",0,0
2024-10-21,Lochar,0,0
2024-10-21,Dennistoun,0,0
2024-10-21,Greater Pollok,0,0
2024-10-21,Haddington and Lammermuir,0,0
2024-10-21,Dee and Glenkens,0,0
2024-10-21,Hilton/Woodside/Stockethill,0,0
2024-10-21,Paisley North East and Ralston,0,0
2024-10-21,"Houston, Crosslee & Linwood",0,0
2024-10-21,North Isles - Orkney,0,0
2024-10-21,Selkirkshire,0,0
2024-10-21,Tweeddale East,0,0
2024-10-21,Dalry and West Kilbride,0,0
2024-10-21,Turriff and District,0,0
2024-10-21,Motherwell South East and Ravenscraig,0,0
2024-10-21,Glenboig and Moodiesburn,0,0
2024-10-21,Arbroath East & Lunan,0,0
2024-10-21,Lerwick South,0,0
2024-10-21,Lochee,0,0
2024-10-21,Kilwinning,0,0
2024-10-21,Clackmannanshire North,0,0
2024-10-21,Shettleston,0,0
2024-10-21,Clydesdale North,0,0
2024-10-21,Stromness and South Isles,0,0
2024-10-21,North Isles - Shetland,0,0
