year,month,authorLocation,index,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,4,Aberdeen,0,138,8.0,8.0,0.0,16.0,0.5
2019,4,Aberdeenshire,1,77,0.0,0.0,1.0,1.0,0.0
2019,4,Angus,2,42,0.0,0.0,0.0,0.0,0.0
2019,4,Argyll and Bute,3,65,0.0,1.0,0.0,1.0,0.0
2019,4,Clackmannanshire,4,37,0.0,0.0,0.0,0.0,0.0
2019,4,Dumfries and Galloway,5,107,1.0,0.0,0.0,1.0,1.0
2019,4,Dundee,6,112,1.0,0.0,0.0,1.0,1.0
2019,4,East Ayrshire,7,94,1.0,0.0,0.0,1.0,1.0
2019,4,East Dunbartonshire,8,30,0.0,0.0,0.0,0.0,0.0
2019,4,East Lothian,9,39,1.0,1.0,0.0,2.0,0.5
2019,4,East Renfrewshire,10,23,1.0,0.0,0.0,1.0,1.0
2019,4,Edinburgh,11,269,5.0,6.0,0.0,11.0,0.45454545454545453
2019,4,Falkirk,12,156,0.0,0.0,0.0,0.0,0.0
2019,4,Fife,13,219,1.0,2.0,0.0,3.0,0.3333333333333333
2019,4,Glasgow,14,512,14.0,5.0,3.0,22.0,0.6363636363636364
2019,4,Highland,15,115,2.0,2.0,1.0,5.0,0.4
2019,4,Inverclyde,16,48,1.0,0.0,0.0,1.0,1.0
2019,4,Midlothian,17,53,2.0,2.0,0.0,4.0,0.5
2019,4,Moray,18,44,0.0,0.0,0.0,0.0,0.0
2019,4,North Ayrshire,19,98,1.0,0.0,0.0,1.0,1.0
2019,4,North Lanarkshire,20,324,2.0,1.0,0.0,3.0,0.6666666666666666
2019,4,Orkney,21,8,0.0,0.0,0.0,0.0,0.0
2019,4,Perth and Kinross,22,45,0.0,1.0,0.0,1.0,0.0
2019,4,Renfrewshire,23,103,0.0,1.0,0.0,1.0,0.0
2019,4,Scottish Borders,24,66,0.0,2.0,1.0,3.0,0.0
2019,4,Shetland,25,5,0.0,0.0,0.0,0.0,0.0
2019,4,South Ayrshire,26,83,0.0,0.0,0.0,0.0,0.0
2019,4,South Lanarkshire,27,248,2.0,1.0,0.0,3.0,0.6666666666666666
2019,4,Stirling,28,70,0.0,0.0,0.0,0.0,0.0
2019,4,West Dunbartonshire,29,83,0.0,0.0,0.0,0.0,0.0
2019,4,West Lothian,30,78,0.0,0.0,0.0,0.0,0.0
2019,4,Western Isles - Eilean Siar,31,7,0.0,0.0,0.0,0.0,0.0
2019,5,Aberdeen,32,102,0.0,0.0,0.0,0.0,0.0
