PSOS_MMW_Name,COUNCIL NAME,WARD CODE,Population_Census_2022-03-20,Area,longitude,latitude,CALENDAR YEAR,CALENDAR MONTH,"Alcohol offences, travelling to and from sporting event",Breach of football banning order,Breach of the peace,Carrying of Knives etc S Act 1993,Drunk in or attempting to enter designated sports ground,Mobbing and rioting,Offensive behaviour at football (OBaFaTBSA 2012),Permitting riotous behaviour in licensed premises,Possession of an offensive weapon,Possession of offensive weapon used in other criminal activity,Public mischief - including wasting police time,Racially aggravated conduct,Racially aggravated harassment,Serious Assault,Sports grounds offences possessing alcohol etc,Stirring up hatred: Racial,Threatening or abusive behaviour,TOTAL DETECTED CRIME
Abbey,Dumfries and Galloway,S13002884,10176.0,204.87,-3.64425,54.962841,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
"Aboyne, Upper Deeside and Donside",Aberdeenshire,S13002503,11133.0,1748.5,-3.17978,57.07965,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Aird and Loch Ness,Highland,S13002674,12093.0,2451.4,-4.70279,57.27546,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Airdrie Central,North Lanarkshire,S13002719,16035.0,5.0514,-3.98568,55.86562,2019,4,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,41.0
Airdrie North,North Lanarkshire,S13002718,19368.0,76.613,-3.9159,55.89956,2019,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,15.0
Airdrie South,North Lanarkshire,S13002722,19213.0,19.416,-3.94822,55.85219,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Airyhall/Broomhill/Garthdee,Aberdeen City,S13002486,15585.0,4.0354,-2.13887,57.12863,2019,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Almond,City of Edinburgh,S13002583,34967.0,64.341,-3.35969,55.95999,2019,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,22.0
Almond and Earn,Perth and Kinross,S13002746,10162.0,297.82,-3.58196,56.35734,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
An Taobh Siar agus Nis,Western Isles - Eilean Siar,S13002608,2975.0,417.67,-6.38777,58.37009,2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderston/City/Yorkhill,Glasgow City,S13002976,36626.0,5.1913,-4.26673,55.861858,2019,4,0.0,1.0,33.0,14.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,4.0,0.0,9.0,0.0,0.0,77.0,149.0
