year,month,source_location,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,4,Aberdeen City,138,,,,,
2019,4,Aberdeenshire,77,,,,,
2019,4,Angus,42,,,,,
2019,4,Argyll and Bute,65,,,,,
2019,4,Clackmannanshire,37,,,,,
2019,4,Dumfries and Galloway,107,,,,,
2019,4,Dundee City,112,,,,,
2019,4,East Ayrshire,94,,,,,
2019,4,East Dunbartonshire,30,,,,,
2019,4,East Lothian,39,,,,,
2019,4,East Renfrewshire,23,,,,,
2019,4,City of Edinburgh,269,,,,,
2019,4,Falkirk,156,,,,,
2019,4,Fife,219,,,,,
2019,4,Glasgow City,512,,,,,
2019,4,Highland,115,,,,,
2019,4,Inverclyde,48,,,,,
2019,4,Midlothian,53,,,,,
2019,4,Moray,44,,,,,
2019,4,North Ayrshire,98,,,,,
2019,4,North Lanarkshire,324,,,,,
2019,4,Orkney Islands,8,,,,,
2019,4,Perth and Kinross,45,,,,,
2019,4,Renfrewshire,103,,,,,
2019,4,Scottish Borders,66,,,,,
2019,4,Shetland Islands,5,,,,,
2019,4,South Ayrshire,83,,,,,
2019,4,South Lanarkshire,248,,,,,
2019,4,Stirling,70,,,,,
2019,4,West Dunbartonshire,83,,,,,
2019,4,West Lothian,78,,,,,
2019,4,Na h-Eileanan Siar,7,,,,,
2019,5,Aberdeen City,102,,,,,
2019,5,Aberdeenshire,63,,,,,
2019,5,Angus,40,,,,,
2019,5,Argyll and Bute,60,,,,,
2019,5,Clackmannanshire,43,,,,,
2019,5,Dumfries and Galloway,146,,,,,
2019,5,Dundee City,106,,,,,
2019,5,East Ayrshire,74,,,,,
2019,5,East Dunbartonshire,47,,,,,
2019,5,East Lothian,35,,,,,
2019,5,East Renfrewshire,21,,,,,
2019,5,City of Edinburgh,285,,,,,
2019,5,Falkirk,100,,,,,
2019,5,Fife,285,,,,,
2019,5,Glasgow City,578,,,,,
2019,5,Highland,127,,,,,
2019,5,Inverclyde,48,,,,,
2019,5,Midlothian,78,,,,,
2019,5,Moray,38,,,,,
2019,5,North Ayrshire,106,,,,,
2019,5,North Lanarkshire,305,,,,,
